locus	pop1	metric	value
MrChr6G30830	BQ	pi	0.00119421
MrChr6G30830	BQ	TajD	-0.641124
MrChr6G31560	BQ	pi	0
MrChr6G32090	BQ	pi	0.00151946
MrChr6G32090	BQ	TajD	2.47182
MrChr6G32560	BQ	pi	0
MrChr6G32670	BQ	pi	0
MrChr6G32870	BQ	pi	0
MrChr6G33880	BQ	pi	6.70E-05
MrChr6G33880	BQ	TajD	-1.21235
MrChr6G34120	BQ	pi	0.0132851
MrChr6G34120	BQ	TajD	2.7784
MrChr6G34640	BQ	pi	0.000624786
MrChr6G34640	BQ	TajD	2.18913
MrChr6G36370	BQ	pi	0
MrChr7G00280	BQ	pi	9.87E-05
MrChr7G00280	BQ	TajD	0.937384
MrChr7G02720	BQ	pi	0.000209046
MrChr7G02720	BQ	TajD	-0.95384
MrChr7G05230	BQ	pi	0
MrChr7G07250	BQ	pi	0.0101859
MrChr7G07250	BQ	TajD	-0.641124
MrChr7G07520	BQ	pi	0.000126394
MrChr7G07520	BQ	TajD	-0.835495
MrChr7G08230	BQ	pi	0.000862911
MrChr7G08230	BQ	TajD	1.87621
MrChr7G09630	BQ	pi	0.000455685
MrChr7G09630	BQ	TajD	-0.835495
MrChr7G14780	BQ	pi	0
MrChr7G15050	BQ	pi	0.0015942
MrChr7G15050	BQ	TajD	-1.46206
MrChr7G17280	BQ	pi	0.000558524
MrChr7G17280	BQ	TajD	-0.515201
MrChr7G17570	BQ	pi	0.00350337
MrChr7G17570	BQ	TajD	0.541012
MrChr7G18280	BQ	pi	0.00060785
MrChr7G18280	BQ	TajD	0.0938163
MrChr7G22170	BQ	pi	0.000496371
MrChr7G22170	BQ	TajD	-1.17515
MrChr7G22290	BQ	pi	0.000404108
MrChr7G22290	BQ	TajD	-0.835495
MrChr7G22730	BQ	pi	0.000547889
MrChr7G22730	BQ	TajD	-1.37064
MrChr7G23910	BQ	pi	0.000389494
MrChr7G23910	BQ	TajD	0.14824
MrChr7G24030	BQ	pi	0.00252408
MrChr7G24030	BQ	TajD	0.386104
MrChr7G25510	BQ	pi	0.000399855
MrChr7G25510	BQ	TajD	1.58117
MrChr7G26640	BQ	pi	0.000806021
MrChr7G26640	BQ	TajD	-1.1428
MrChr7G33430	BQ	pi	0.000421737
MrChr7G33430	BQ	TajD	1.98902
MrChr8G00090	BQ	pi	0
MrChr8G00190	BQ	pi	0
MrChr8G02770	BQ	pi	0.000264015
MrChr8G02770	BQ	TajD	-1.72938
MrChr8G03450	BQ	pi	0
MrChr8G07320	BQ	pi	0
MrChr8G07420	BQ	pi	0
MrChr8G08820	BQ	pi	0
MrChr8G13520	BQ	pi	0.00193475
MrChr8G13520	BQ	TajD	-1.03561
MrChr8G13650	BQ	pi	9.95E-05
MrChr8G13650	BQ	TajD	1.47142
MrChr8G17690	BQ	pi	0.000966098
MrChr8G17690	BQ	TajD	-1.2858
MrChr8G18200	BQ	pi	0
MrChr8G20510	BQ	pi	5.54E-05
MrChr8G20510	BQ	TajD	-0.641124
MrChr8G25730	BQ	pi	0.000692641
MrChr8G25730	BQ	TajD	-0.641124
MrChr1G08080	BQ	pi	0
MrChr1G09780	BQ	pi	0.00215559
MrChr1G09780	BQ	TajD	1.58117
MrChr1G19170	BQ	pi	0
MrChr1G19420	BQ	pi	0.00628571
MrChr1G19420	BQ	TajD	2.3524
MrChr1G19540	BQ	pi	0.000583822
MrChr1G19540	BQ	TajD	2.04265
MrChr1G20640	BQ	pi	0.000518948
MrChr1G20640	BQ	TajD	1.47142
MrChr1G27420	BQ	pi	0.000191655
MrChr1G27420	BQ	TajD	-0.835495
MrChr1G28710	BQ	pi	0
MrChr1G33490	BQ	pi	0
MrChr1G33720	BQ	pi	3.04E-05
MrChr1G33720	BQ	TajD	-1.1624
MrChr1G34110	BQ	pi	0
MrChr1G34290	BQ	pi	0.000208715
MrChr1G34290	BQ	TajD	0.593482
MrChr1G35940	BQ	pi	0.000210338
MrChr1G35940	BQ	TajD	1.47142
MrChr1G36170	BQ	pi	0
MrChr2G00270	BQ	pi	0.000316815
MrChr2G00270	BQ	TajD	1.94332
MrChr2G07990	BQ	pi	0.00633609
MrChr2G07990	BQ	TajD	0.612518
MrChr2G12760	BQ	pi	0
MrChr2G13380	BQ	pi	0.00446643
MrChr2G13380	BQ	TajD	-1.30615
MrChr2G14980	BQ	pi	0.00134706
MrChr2G14980	BQ	TajD	1.47142
MrChr2G15080	BQ	pi	0.000724079
MrChr2G15080	BQ	TajD	1.91752
MrChr2G15940	BQ	pi	0
MrChr2G20070	BQ	pi	6.28E-05
MrChr2G20070	BQ	TajD	-1.21235
MrChr2G20720	BQ	pi	0
MrChr2G22690	BQ	pi	0.00232804
MrChr2G22690	BQ	TajD	1.58117
MrChr2G29730	BQ	pi	0.00075426
MrChr2G29730	BQ	TajD	-1.00823
MrChr2G31540	BQ	pi	0
MrChr3G00410	BQ	pi	0.000208939
MrChr3G00410	BQ	TajD	1.58117
MrChr3G02340	BQ	pi	0
MrChr3G07520	BQ	pi	0.00330395
MrChr3G07520	BQ	TajD	2.78583
MrChr3G08630	BQ	pi	0
MrChr3G10840	BQ	pi	0
MrChr3G11280	BQ	pi	0.000488839
MrChr3G11280	BQ	TajD	2.55308
MrChr3G13530	BQ	pi	0.000318895
MrChr3G13530	BQ	TajD	-0.641124
MrChr3G17490	BQ	pi	0.000937811
MrChr3G17490	BQ	TajD	1.33425
MrChr3G20580	BQ	pi	0
MrChr3G22860	BQ	pi	0.000142041
MrChr3G22860	BQ	TajD	-0.138191
MrChr3G24570	BQ	pi	0.000784458
MrChr3G24570	BQ	TajD	1.68398
MrChr3G27600	BQ	pi	0.000218503
MrChr3G27600	BQ	TajD	-0.670064
MrChr3G36870	BQ	pi	0
MrChr3G37330	BQ	pi	0
MrChr4G00140	BQ	pi	0.000421392
MrChr4G00140	BQ	TajD	1.98902
MrChr4G01860	BQ	pi	0
MrChr4G04100	BQ	pi	0.00460449
MrChr4G04100	BQ	TajD	1.47142
MrChr4G16850	BQ	pi	0.000649622
MrChr4G16850	BQ	TajD	1.36024
MrChr4G20600	BQ	pi	0
MrChr4G25830	BQ	pi	0.000124537
MrChr4G25830	BQ	TajD	1.47142
MrChr4G28200	BQ	pi	0.000454489
MrChr4G28200	BQ	TajD	-1.03561
MrChr4G28770	BQ	pi	0.00138765
MrChr4G28770	BQ	TajD	2.62281
MrChr5G02770	BQ	pi	0
MrChr5G05560	BQ	pi	0
MrChr5G05940	BQ	pi	0.000421726
MrChr5G05940	BQ	TajD	1.47142
MrChr5G06770	BQ	pi	0.00126722
MrChr5G06770	BQ	TajD	0.612518
MrChr5G14460	BQ	pi	0.000712519
MrChr5G14460	BQ	TajD	1.98902
MrChr5G16100	BQ	pi	0
MrChr5G19910	BQ	pi	0.000216857
MrChr5G19910	BQ	TajD	-0.835495
MrChr5G21690	BQ	pi	0.00399448
MrChr5G21690	BQ	TajD	3.20248
MrChr5G23610	BQ	pi	0.000163977
MrChr5G23610	BQ	TajD	-0.641124
MrChr5G23820	BQ	pi	0
MrChr5G24620	BQ	pi	0.000642187
MrChr5G24620	BQ	TajD	2.12562
MrChr5G26490	BQ	pi	0.000662336
MrChr5G26490	BQ	TajD	1.07091
MrChr5G27260	BQ	pi	0.000514043
MrChr5G27260	BQ	TajD	1.58117
MrChr5G29380	BQ	pi	0.00072168
MrChr5G29380	BQ	TajD	0.597611
MrChr6G09270	BQ	pi	0.000425081
MrChr6G09270	BQ	TajD	0.486404
MrChr6G10960	BQ	pi	0.000353836
MrChr6G10960	BQ	TajD	1.10843
MrChr6G13100	BQ	pi	0
MrChr6G16410	BQ	pi	0.00035246
MrChr6G16410	BQ	TajD	1.31319
MrChr6G18260	BQ	pi	0
MrChr6G19610	BQ	pi	0
MrChr6G24100	BQ	pi	0.000683527
MrChr6G24100	BQ	TajD	1.91752
MrChr6G28880	BQ	pi	0
MrChr6G28980	BQ	pi	0.00245038
MrChr6G28980	BQ	TajD	1.55373
MrChr6G29120	BQ	pi	0.000372285
MrChr6G29120	BQ	TajD	1.91752
MrChr6G30080	BQ	pi	0
MrChr6G30290	BQ	pi	0
MrChr6G30390	BQ	pi	0
MrChr6G31550	BQ	pi	0.000476476
MrChr6G31550	BQ	TajD	1.91752
MrChr6G32080	BQ	pi	0
MrChr6G32550	BQ	pi	3.06E-05
MrChr6G32550	BQ	TajD	-1.17515
MrChr6G32660	BQ	pi	0.000180811
MrChr6G32660	BQ	TajD	1.58117
MrChr6G32860	BQ	pi	0
MrChr6G32970	BQ	pi	0
MrChr6G34110	BQ	pi	0.0174653
MrChr6G34110	BQ	TajD	1.47142
MrChr6G34560	BQ	pi	0
MrChr6G36360	BQ	pi	0
MrChr7G00270	BQ	pi	0.000129323
MrChr7G00270	BQ	TajD	-0.72254
MrChr7G02710	BQ	pi	0.000336129
MrChr7G02710	BQ	TajD	0.541012
MrChr7G07240	BQ	pi	0.00293492
MrChr7G07240	BQ	TajD	-0.641124
MrChr7G07510	BQ	pi	0
MrChr7G07610	BQ	pi	0.000677731
MrChr7G07610	BQ	TajD	-1.25756
MrChr7G09620	BQ	pi	0
MrChr7G14630	BQ	pi	0.00654762
MrChr7G14630	BQ	TajD	1.58117
MrChr7G15040	BQ	pi	0.00126459
MrChr7G15040	BQ	TajD	-0.138191
MrChr7G15850	BQ	pi	0
MrChr7G17560	BQ	pi	0
MrChr7G18170	BQ	pi	0
MrChr7G21440	BQ	pi	0.000518444
MrChr7G21440	BQ	TajD	-0.641124
MrChr7G22280	BQ	pi	0.000393546
MrChr7G22280	BQ	TajD	-1.09607
MrChr7G22700	BQ	pi	0
MrChr7G22930	BQ	pi	0.00129955
MrChr7G22930	BQ	TajD	-0.100612
MrChr7G24020	BQ	pi	0
MrChr7G25470	BQ	pi	0.00111274
MrChr7G25470	BQ	TajD	-0.0449612
MrChr7G26630	BQ	pi	0.00249629
MrChr7G26630	BQ	TajD	-0.182508
MrChr7G33420	BQ	pi	0.00102322
MrChr7G33420	BQ	TajD	1.47142
MrChr8G00080	BQ	pi	0.000806518
MrChr8G00080	BQ	TajD	1.47142
MrChr8G00180	BQ	pi	0
MrChr8G01320	BQ	pi	0
MrChr8G03440	BQ	pi	0
MrChr8G03740	BQ	pi	0.00489542
MrChr8G03740	BQ	TajD	1.58117
MrChr8G07310	BQ	pi	0
MrChr8G08810	BQ	pi	0
MrChr8G10380	BQ	pi	0.00583632
MrChr8G10380	BQ	TajD	2.55406
MrChr8G13510	BQ	pi	0
MrChr8G13640	BQ	pi	0.000130079
MrChr8G13640	BQ	TajD	-1.08631
MrChr8G14820	BQ	pi	0
MrChr8G17680	BQ	pi	0.00232997
MrChr8G17680	BQ	TajD	-1.29076
MrChr8G18190	BQ	pi	0
MrChr8G21970	BQ	pi	0
MrChr8G25720	BQ	pi	0.00115524
MrChr8G25720	BQ	TajD	2.15822
MrChr8G32300	BQ	pi	0.000809095
MrChr8G32300	BQ	TajD	2.18913
MrChr1G08120	BQ	pi	0
MrChr1G18410	BQ	pi	0
MrChr1G19460	BQ	pi	0.000414079
MrChr1G19460	BQ	TajD	2.55406
MrChr1G19720	BQ	pi	0
MrChr1G20510	BQ	pi	0
MrChr1G20820	BQ	pi	0
MrChr1G28010	BQ	pi	0
MrChr1G28750	BQ	pi	0
MrChr1G33530	BQ	pi	0.00010917
MrChr1G33530	BQ	TajD	-0.871248
MrChr1G33630	BQ	pi	0
MrChr1G34220	BQ	pi	0.000185182
MrChr1G34220	BQ	TajD	-1.17515
MrChr1G34640	BQ	pi	0
MrChr1G36210	BQ	pi	0.000551536
MrChr1G36210	BQ	TajD	2.18913
MrChr2G04330	BQ	pi	0
MrChr2G08030	BQ	pi	0
MrChr2G13320	BQ	pi	0.00389124
MrChr2G13320	BQ	TajD	-1.2106
MrChr2G14920	BQ	pi	0
MrChr2G15020	BQ	pi	0
MrChr2G15120	BQ	pi	0
MrChr2G15750	BQ	pi	0.000379291
MrChr2G15750	BQ	TajD	2.12202
MrChr2G16580	BQ	pi	0
MrChr2G16680	BQ	pi	0.0127758
MrChr2G16680	BQ	TajD	1.58117
MrChr2G16790	BQ	pi	0.0284091
MrChr2G16790	BQ	TajD	1.48848
MrChr2G21400	BQ	pi	0
MrChr2G22900	BQ	pi	0.000552941
MrChr2G22900	BQ	TajD	1.91752
MrChr2G30230	BQ	pi	0.00151664
MrChr2G30230	BQ	TajD	2.98563
MrChr2G36260	BQ	pi	0
MrChr3G00450	BQ	pi	0.000103751
MrChr3G00450	BQ	TajD	-0.835495
MrChr3G04270	BQ	pi	0.000468524
MrChr3G04270	BQ	TajD	1.58117
MrChr3G07560	BQ	pi	0
MrChr3G09840	BQ	pi	0
MrChr3G10280	BQ	pi	0.000390734
MrChr3G10280	BQ	TajD	0.615307
MrChr3G10880	BQ	pi	0
MrChr3G11320	BQ	pi	0.000276147
MrChr3G11320	BQ	TajD	1.98902
MrChr3G20350	BQ	pi	0
MrChr3G22740	BQ	pi	0
MrChr3G23130	BQ	pi	0.000287833
MrChr3G23130	BQ	TajD	-1.09607
MrChr3G25530	BQ	pi	0.000204485
MrChr3G25530	BQ	TajD	-0.110273
MrChr3G29010	BQ	pi	0.000713637
MrChr3G29010	BQ	TajD	1.58117
MrChr3G36910	BQ	pi	0.000817655
MrChr3G36910	BQ	TajD	0.112402
MrChr3G37370	BQ	pi	0.000142401
MrChr3G37370	BQ	TajD	-0.835495
MrChr4G01800	BQ	pi	0
MrChr4G03820	BQ	pi	0.000680542
MrChr4G03820	BQ	TajD	-1.23603
MrChr4G14060	BQ	pi	0
MrChr4G20540	BQ	pi	0
MrChr4G22740	BQ	pi	0.000176334
MrChr4G22740	BQ	TajD	-0.641124
MrChr4G26960	BQ	pi	0.000151761
MrChr4G26960	BQ	TajD	-0.00985823
MrChr4G28710	BQ	pi	0.00037097
MrChr4G28710	BQ	TajD	1.58117
MrChr4G29030	BQ	pi	0
MrChr5G05390	BQ	pi	0.000280412
MrChr5G05390	BQ	TajD	1.14797
MrChr5G05600	BQ	pi	0
MrChr5G06980	BQ	pi	0.00974026
MrChr5G06980	BQ	TajD	1.47142
MrChr5G14500	BQ	pi	0.00105082
MrChr5G14500	BQ	TajD	1.47142
MrChr5G19410	BQ	pi	0.00216898
MrChr5G19410	BQ	TajD	2.06053
MrChr5G21060	BQ	pi	0.000210871
MrChr5G21060	BQ	TajD	1.56801
MrChr5G23450	BQ	pi	0
MrChr5G23720	BQ	pi	0
MrChr5G24200	BQ	pi	0.000102401
MrChr5G24200	BQ	TajD	-0.641124
MrChr5G24660	BQ	pi	0.00055182
MrChr5G24660	BQ	TajD	0.0404639
MrChr5G26530	BQ	pi	0.000687821
MrChr5G26530	BQ	TajD	1.36761
MrChr5G29240	BQ	pi	0.00398226
MrChr5G29240	BQ	TajD	2.26834
MrChr5G29820	BQ	pi	0.000357761
MrChr5G29820	BQ	TajD	2.29798
MrChr6G09740	BQ	pi	0.00104755
MrChr6G09740	BQ	TajD	-1.25756
MrChr6G11020	BQ	pi	0.00119017
MrChr6G11020	BQ	TajD	2.38423
MrChr6G11260	BQ	pi	0
MrChr6G14450	BQ	pi	0.000196527
MrChr6G14450	BQ	TajD	0.379541
MrChr6G16580	BQ	pi	0
MrChr6G18300	BQ	pi	0.000517917
MrChr6G18300	BQ	TajD	-0.423209
MrChr6G19890	BQ	pi	0.00325348
MrChr6G19890	BQ	TajD	1.58117
MrChr6G28920	BQ	pi	0
MrChr6G29030	BQ	pi	0.000287617
MrChr6G29030	BQ	TajD	1.47142
MrChr6G29220	BQ	pi	0.00022139
MrChr6G29220	BQ	TajD	1.58117
MrChr6G30230	BQ	pi	0.0026332
MrChr6G30230	BQ	TajD	1.91949
MrChr6G30330	BQ	pi	0
MrChr6G31750	BQ	pi	3.53E-05
MrChr6G31750	BQ	TajD	-1.1624
MrChr6G32200	BQ	pi	0
MrChr6G32590	BQ	pi	0.000107228
MrChr6G32590	BQ	TajD	1.58117
MrChr6G32900	BQ	pi	0
MrChr6G33910	BQ	pi	0.000211039
MrChr6G33910	BQ	TajD	1.47142
MrChr6G34030	BQ	pi	0
MrChr6G34250	BQ	pi	6.32E-05
MrChr6G34250	BQ	TajD	1.58117
MrChr6G35070	BQ	pi	0.000799306
MrChr6G35070	BQ	TajD	2.18913
MrChr6G36860	BQ	pi	0.00153161
MrChr6G36860	BQ	TajD	2.06053
MrChr7G01050	BQ	pi	0.000712621
MrChr7G01050	BQ	TajD	-0.482598
MrChr7G04140	BQ	pi	0
MrChr7G06330	BQ	pi	0.00218922
MrChr7G06330	BQ	TajD	-0.890385
MrChr7G07450	BQ	pi	0
MrChr7G07550	BQ	pi	0
MrChr7G08720	BQ	pi	0.000148635
MrChr7G08720	BQ	TajD	-0.641124
MrChr7G12760	BQ	pi	0.000468729
MrChr7G12760	BQ	TajD	1.92456
MrChr7G14830	BQ	pi	0
MrChr7G15550	BQ	pi	0.00076259
MrChr7G15550	BQ	TajD	3.12719
MrChr7G17310	BQ	pi	0.00320842
MrChr7G17310	BQ	TajD	2.44491
MrChr7G17600	BQ	pi	0
MrChr7G18850	BQ	pi	0.000742854
MrChr7G18850	BQ	TajD	-1.33704
MrChr7G22200	BQ	pi	0.000638182
MrChr7G22200	BQ	TajD	-0.95384
MrChr7G22320	BQ	pi	0.000821097
MrChr7G22320	BQ	TajD	-1.05292
MrChr7G22800	BQ	pi	0.000897203
MrChr7G22800	BQ	TajD	-0.641124
MrChr7G23940	BQ	pi	0.00163914
MrChr7G23940	BQ	TajD	1.47142
MrChr7G24800	BQ	pi	0.000306743
MrChr7G24800	BQ	TajD	2.51556
MrChr7G25880	BQ	pi	0.000939811
MrChr7G25880	BQ	TajD	0.594642
MrChr7G26980	BQ	pi	0.000875715
MrChr7G26980	BQ	TajD	1.00583
MrChr8G00020	BQ	pi	0.000269034
MrChr8G00020	BQ	TajD	2.06053
MrChr8G00120	BQ	pi	0
MrChr8G00220	BQ	pi	0
MrChr8G03050	BQ	pi	0
MrChr8G03480	BQ	pi	4.56E-05
MrChr8G03480	BQ	TajD	-0.835495
MrChr8G04370	BQ	pi	0
MrChr8G07350	BQ	pi	0
MrChr8G07490	BQ	pi	0
MrChr8G09400	BQ	pi	0
MrChr8G12140	BQ	pi	0.0015877
MrChr8G12140	BQ	TajD	-0.581242
MrChr8G13550	BQ	pi	0
MrChr8G14470	BQ	pi	0.000180752
MrChr8G14470	BQ	TajD	-0.641124
MrChr8G15460	BQ	pi	0.000882651
MrChr8G15460	BQ	TajD	-1.27605
MrChr8G18060	BQ	pi	0.000136454
MrChr8G18060	BQ	TajD	-0.835495
MrChr8G18740	BQ	pi	0.00138765
MrChr8G18740	BQ	TajD	1.47142
MrChr8G26230	BQ	pi	0.000759361
MrChr8G26230	BQ	TajD	1.47142
MrChr1G08200	BQ	pi	0.000211299
MrChr1G08200	BQ	TajD	2.06053
MrChr1G18500	BQ	pi	0
MrChr1G19220	BQ	pi	0
MrChr1G19820	BQ	pi	0.00529101
MrChr1G19820	BQ	TajD	2.06053
MrChr1G20520	BQ	pi	0
MrChr1G20830	BQ	pi	0
MrChr1G28020	BQ	pi	0
MrChr1G28760	BQ	pi	0.000611191
MrChr1G28760	BQ	TajD	1.18457
MrChr1G33540	BQ	pi	0
MrChr1G33640	BQ	pi	0
MrChr1G33960	BQ	pi	0
MrChr1G34230	BQ	pi	0
MrChr1G34650	BQ	pi	0.00121944
MrChr1G34650	BQ	TajD	-1.09607
MrChr1G35990	BQ	pi	0
MrChr1G36280	BQ	pi	0
MrChr2G04340	BQ	pi	0.00366763
MrChr2G04340	BQ	TajD	-1.60739
MrChr2G07020	BQ	pi	0.000970085
MrChr2G07020	BQ	TajD	-0.835495
MrChr2G10730	BQ	pi	0.00114098
MrChr2G10730	BQ	TajD	1.98902
MrChr2G13330	BQ	pi	0.00220586
MrChr2G13330	BQ	TajD	-0.835495
MrChr2G14930	BQ	pi	0
MrChr2G15030	BQ	pi	0
MrChr2G15130	BQ	pi	0.000762459
MrChr2G15130	BQ	TajD	1.58117
MrChr2G15890	BQ	pi	0
MrChr2G16590	BQ	pi	0.000515681
MrChr2G16590	BQ	TajD	-0.227687
MrChr2G16690	BQ	pi	0.00671551
MrChr2G16690	BQ	TajD	1.58117
MrChr2G20670	BQ	pi	0
MrChr2G22570	BQ	pi	0
MrChr2G25580	BQ	pi	0
MrChr2G30240	BQ	pi	0.000592033
MrChr2G30240	BQ	TajD	0.541012
MrChr3G00180	BQ	pi	0
MrChr3G00460	BQ	pi	0.000129128
MrChr3G00460	BQ	TajD	-0.641124
MrChr3G04280	BQ	pi	0.000676946
MrChr3G04280	BQ	TajD	0.541012
MrChr3G07570	BQ	pi	0
MrChr3G10290	BQ	pi	0
MrChr3G10890	BQ	pi	0.000346676
MrChr3G10890	BQ	TajD	1.47142
MrChr3G13230	BQ	pi	0
MrChr3G20360	BQ	pi	0
MrChr3G22750	BQ	pi	0
MrChr3G23140	BQ	pi	0.000721501
MrChr3G23140	BQ	TajD	-0.641124
MrChr3G25540	BQ	pi	0
MrChr3G29020	BQ	pi	0.00098832
MrChr3G29020	BQ	TajD	1.58117
MrChr3G36920	BQ	pi	0.000179162
MrChr3G36920	BQ	TajD	-0.835495
MrChr3G37380	BQ	pi	9.24E-05
MrChr3G37380	BQ	TajD	-1.17515
MrChr4G01810	BQ	pi	0
MrChr4G03830	BQ	pi	0.000441819
MrChr4G03830	BQ	TajD	0.759227
MrChr4G15970	BQ	pi	0.000535516
MrChr4G15970	BQ	TajD	1.97872
MrChr4G20550	BQ	pi	7.94E-05
MrChr4G20550	BQ	TajD	-0.641124
MrChr4G22750	BQ	pi	0.000817701
MrChr4G22750	BQ	TajD	1.98902
MrChr4G26970	BQ	pi	0.000445387
MrChr4G26970	BQ	TajD	1.46542
MrChr4G28720	BQ	pi	0.000689386
MrChr4G28720	BQ	TajD	0.612518
MrChr4G29040	BQ	pi	0.0011412
MrChr4G29040	BQ	TajD	2.98563
MrChr5G05510	BQ	pi	0.000195471
MrChr5G05510	BQ	TajD	0.541012
MrChr5G05610	BQ	pi	0.000415173
MrChr5G05610	BQ	TajD	1.9241
MrChr5G15510	BQ	pi	0.000292607
MrChr5G15510	BQ	TajD	2.65542
MrChr5G19770	BQ	pi	0.000363
MrChr5G19770	BQ	TajD	2.06053
MrChr5G21500	BQ	pi	0.00044306
MrChr5G21500	BQ	TajD	0.541012
MrChr5G23460	BQ	pi	6.56E-05
MrChr5G23460	BQ	TajD	-1.17515
MrChr5G23730	BQ	pi	0.00264855
MrChr5G23730	BQ	TajD	1.10843
MrChr5G24210	BQ	pi	0
MrChr5G24670	BQ	pi	0.000871262
MrChr5G24670	BQ	TajD	2.18913
MrChr5G26540	BQ	pi	0.00100182
MrChr5G26540	BQ	TajD	2.24355
MrChr5G29250	BQ	pi	0.00192583
